,tweet,offensive,vlg,vio,HS_HS1,HS_HS2,HS_HS3,HS_HS5,HS_HS6,HS_NOT_HS
0,مستخدم ردينا ع التطنز  وجه مبتسم باستهزاء  قبضه موجهه للامام 🏻,1,0,0,0,0,0,0,0,1
1,وصارت فطاير البقالات غذاء صحي  ابهام متجه لاسفل 🏻,0,0,0,0,0,0,0,0,1
2,مستخدم روحي لبريده تلقين اشباه كثير بس ماحد زيكم مشفوح يخقخق ويطالعهم بكل انحطاط ويصورهم اله يفشلكم بس وجه بقناع طبي ,1,0,0,0,0,0,0,0,1
3,مستخدم مش باين حاجه خالص  وجه منصدم مش عارف بقى  وجه متأمل ,0,0,0,0,0,0,0,0,1
4,اليوم الاثنين تصفيق  يقولك من المسلمين عندهم خاله اسمها امل تصفيق أو عمه امل  تصفيق او اخت امل تصفيق او زوجه امل تصفيق او بنت امل قبضه موجهه للاعلي او حماة امل قبضه موجهه للامام والي ماعنده ولا املبالعائلة يراجع نفسه لانه وضعه مو طبيعي  وجه مندهش وأي قروب فيه امل هو من أسعد القروباتاذا عندكم وحده اسمها امل ارسلوها لها وجه قط يرسل قبله  وجه قط مبتسم بعيون قلب ,0,0,0,0,0,0,0,0,1
5,حمدله ماحطها في فمي اساسا وجه بقناع طبي  وجه مشمئز ,0,0,0,0,0,0,0,0,1
6,مستخدم ه  وجه بدموع الفرح  وجه قمر جديد  وجه مشمئز ,0,0,0,0,0,0,0,0,1
7,بايع الكليجا الي مايضحك من هالمقطع يبلكني ه مطهبل  وجه بدموع الفرح  حركه اليد لقول حسنا  قبضه موجهه للامام  وجه مبتسم بعيون قلب  وجه مرهق  وجه بدموع الفرح  يمثلني ه  وجه بدموع الفرح  قبضه موجهه للامام ,0,0,0,0,0,0,0,0,1
8,خلاص اله يزعجكم خلاص  وجه بقناع طبي  بايع الكليجا,1,0,0,0,0,0,0,0,1
9,مستخدم هيلق و جحلط غير كذا مافي  وجه بقناع طبي ,1,0,0,0,0,0,0,0,1
10,مستخدم تعبت ارد على كونت ترا متخلفين ورجعين حتى كل اكتبها كول كيفي ياناس حلوا عن سماي اف  قبضه موجهه للامام 🏼,1,0,0,0,0,0,0,0,1
11,مستخدم وهو صادق من يسب الصحابه ويدعي تحريف القران ويتهم عائشه بالزنا وش نسميه مسلم مطور مثلا الا بيض اله وجه كلامه صحيح وماقال الا الحق يالبقره قبضه موجهه للامام 🏻,1,0,0,0,1,0,0,0,0
12,مستخدم بقوه  قبضه موجهه للامام ,0,0,0,0,0,0,0,0,1
