tweet,offensive
RT مستخدم الرئيس السيسي يزور مقر القيادة الموحد بشرق القناة مرتديا الزي العسكري عندما تجتمع القيادة فلا خوف علي مصر قبضه موجهه للامام ,0
RT مستخدم رتويت وفولو وتعال اريحك ي كلب  قرد بحركه اليد لقول لا اتكلم  كلب  حذاء بكعب عال  عمه ليز ديوث سالب,1
افهم مقصدي الخوة دمعة ونوح مو خوة الضحكة الجذب تاليها ابهام متجه لاسفل  مصطفى العيساوي,0
مستخدم خوله الكبير  وجه بقناع طبي ,1
مستخدم حرب شعواء من لجنة المسابقات بالدوري والكأساله يستر مانلعب النهائي مع الباطن بحفر الباطن  وجه يشتاط غضبا  وجه غاضب ,0
مستخدم صدقتي فيهم وقاحه فضيعه مدري من اي زريبة غنم خرجوا منها وجه بقناع طبي ,1
 راس شخص يتحدث ️ تصويت  راس شخص يتحدث ️ برأيك الحب يأتي قبل الزواج  خاتم أويأتي بعد الزواج  زوجان مع قلب  لا أتكلم عن الإعجاب  وجه غاضب  اصدقا الوناسه وينهم افضح معنفك السعوديه عز وفخر بايع الكليجا مهجوره اربع سنه اريد فك قيودي سعودياتxنطلبxاسقاطxالتعد داليا مبارك المعالجه ام مدوح في ذمه اله Nor,0
مستخدم ماتليس دفاعا عن وحدة اليمن ولا لعروبته بل هلك خائنا لوطنة متوشحا بالخزي والعار ابهام متجه لاسفل ,1
زاد عن حده الموضوع اله ياخذكم وجه بقناع طبي  بايع الكليجا,1
مرة قلم عمل حادثه كلم أهله قالهم أنا Pen الحياه و الموت  وجه الضفدع ,0
هي أم كلثوم لما قالت الحب عمره ما جرح ولا عمر بستانه طرح غير الهنا وغير الفرح قالته علي اساس ايه  وجه الضفدع ,0
مستخدم وانا روحت فين وجه يشتاط غضبا ,0
ساعات تفتيش قوات حرس الحدود يعني لو رايحين نفجر دهب مش هيعملوا كده  وجه مكبوت ينفث البخار من انفه ,1
RT مستخدم مباع  نعجه  بايع الكليجا,0
مستخدم احلا نيك بالسياره  الاصبع الوسطي 🏻 نار  وجه مبتسم بنظارة شمسيه ,1
مستخدم اله يبتليج بتغريدات اغث من هذي مثل ما ابتليتيني بوسط استمتاعي وجه يبكي بصوت عالي  وجه مشمئز ,1
